Date;Code;Flags;0.0.0.1.1.1.12.0.0.0.0.0.0.0.0.0.72.0;0.0.0.1.19.1.12.0.0.0.0.0.0.0.0.0.72.0;0.0.0.1.1.1.12.0.0.0.0.1.0.0.0.0.72.0;0.0.0.1.1.1.12.0.0.0.0.2.0.0.0.0.72.0;0.0.0.1.19.1.12.0.0.0.0.1.0.0.0.0.72.0;0.0.0.1.19.1.12.0.0.0.0.2.0.0.0.0.72.0;
107-02:14;0;;3962552;611290;2645969;432969;1688268;571581;end
108-01:52;0;;3963705;612443;2647122;434122;1689502;572922;end
109-02:12;0;;3968809;617547;2652226;439226;1694966;578597;end
110-02:55;0;;3971051;619789;2654468;441468;1697399;581266;end
111-00:43;0;;3978210;626948;2661627;448627;1704755;588726;end
112-00:14;0;;3980453;629191;2663870;450870;1707313;591680;end
113-05:54;0;;3982617;631355;2666034;453034;1709865;594548;end
114-05:56;0;;3983762;632500;2667179;454179;1711328;596280;end
115-02:41;0;;3985911;634649;2669328;456328;1713817;599074;end
116-03:04;0;;3989225;637963;2672642;459642;1717165;602481;end
117-03:38;0;;3997474;646212;2680891;467891;1725510;610887;end
118-02:14;0;;3998758;647496;2682175;469175;1726971;612696;end
119-05:45;0;;4000803;649541;2684220;471220;1729224;615330;end
120-04:34;0;;4003929;652667;2687346;474346;1732543;618721;end
121-03:53;0;;4006023;654761;2689440;476440;1734763;621273;end
122-04:44;0;;4007228;655966;2690645;477645;1736019;622875;end
123-02:18;0;;4012535;661273;2695952;482952;1741639;628792;end
124-02:08;0;;4018644;667382;2702061;489061;1747975;635148;end
125-04:04;0;;4019875;668613;2703292;490292;1749286;636697;end
126-00:27;0;;4021899;670637;2705316;492316;1751424;639022;end
127-04:44;0;;4024269;673007;2707686;494686;1754164;641914;end
128-03:07;0;;4026302;675040;2709719;496719;1756517;644589;end
129-02:06;0;;4027668;676406;2711085;498085;1758185;646299;end
130-03:49;0;;4033782;682520;2717199;504199;1764545;653048;end
131-00:24;0;;4041005;689743;2724422;511422;1771793;660482;end
132-03:32;0;;4044125;692863;2727542;514542;1775125;664165;end
133-03:27;0;;4046509;695247;2729926;516926;1777517;666844;end
134-00:49;0;;4047741;696479;2731158;518158;1779062;668534;end
135-05:11;0;;4050010;698748;2733427;520427;1781372;671047;end
136-05:46;0;;4051069;699807;2734486;521486;1782797;672622;end
137-00:28;0;;4055153;703891;2738570;525570;1787016;676890;end
138-01:08;0;;4060203;708941;2743620;530620;1792246;682157;end
139-01:00;0;;4062217;710955;2745634;532634;1794475;684648;end
140-02:14;0;;4063470;712208;2746887;533887;1795772;685964;end
141-02:45;0;;4064710;713448;2748127;535127;1797251;687515;end
142-02:03;0;;4068090;716828;2751507;538507;1800651;691155;end
143-01:12;0;;4069205;717943;2752622;539622;1801842;692579;end
144-05:04;0;;4072564;721302;2755981;542981;1805552;696578;end
145-00:16;0;;4077856;726594;2761273;548273;1810936;701974;end
146-01:20;0;;4080169;728907;2763586;550586;1813580;704626;end
147-02:02;0;;4081430;730168;2764847;551847;1815179;706467;end
148-04:40;0;;4084532;733270;2767949;554949;1818334;709638;end
149-00:01;0;;4088792;737530;2772209;559209;1822824;714469;end
150-02:23;0;;4089961;738699;2773378;560378;1824332;716234;end
151-05:18;0;;4094190;742928;2777607;564607;1828616;720875;end
152-00:23;0;;4098585;747323;2782002;569002;1833088;725639;end
153-02:06;0;;4100599;749337;2784016;571016;1835341;728174;end
154-02:15;0;;4102613;751351;2786030;573030;1837618;730474;end
155-04:19;0;;4104658;753396;2788075;575075;1839882;732775;end
156-04:58;0;;4105907;754645;2789324;576324;1841293;734321;end
157-05:57;0;;4108304;757042;2791721;578721;1843781;736841;end
158-02:44;0;;4112615;761353;2796032;583032;1848123;741524;end
159-04:23;0;;4117681;766419;2801098;588098;1853410;746893;end
160-05:23;0;;4121029;769767;2804446;591446;1857076;750602;end
161-03:55;0;;4123232;771970;2806649;593649;1859362;753190;end
162-00:48;0;;4124405;773143;2807822;594822;1860706;754731;end
163-04:23;0;;4125575;774313;2808992;595992;1862104;756187;end
164-02:41;0;;4127882;776620;2811299;598299;1864651;758955;end
165-02:37;0;;4133175;781913;2816592;603592;1870105;764485;end
166-00:16;0;;4137539;786277;2820956;607956;1874618;769189;end
167-02:42;0;;4139724;788462;2823141;610141;1877156;771823;end
168-02:33;0;;4140861;789599;2824278;611278;1878665;773484;end
169-05:47;0;;4142923;791661;2826340;613340;1880757;775738;end
170-05:49;0;;4145138;793876;2828555;615555;1883225;778283;end
171-03:28;0;;4147319;796057;2830736;617736;1885751;780913;end
172-00:19;0;;4151422;800160;2834839;621839;1890036;785273;end
173-02:26;0;;4157556;806294;2840973;627973;1896222;791823;end
174-00:41;0;;4159701;808439;2843118;630118;1898637;794248;end
175-05:13;0;;4161810;810548;2845227;632227;1901131;796981;end
176-04:57;0;;4162835;811573;2846252;633252;1902267;798263;end
177-00:35;0;;4165138;813876;2848555;635555;1904881;801112;end
178-04:17;0;;4166207;814945;2849624;636624;1905951;802323;end
179-00:29;0;;4170387;819125;2853804;640804;1910239;806895;end
180-02:45;0;;4176747;825485;2860164;647164;1916631;813401;end
181-01:19;0;;4178790;827528;2862207;649207;1918836;815930;end
182-02:11;0;;4180955;829693;2864372;651372;1921250;818645;end
183-01:38;0;;4182222;830960;2865639;652639;1922738;820309;end
184-03:45;0;;4183375;832113;2866792;653792;1924265;821925;end
185-04:51;0;;4185437;834175;2868854;655854;1926655;824577;end
186-02:07;0;;4190661;839399;2874078;661078;1932197;830304;end
187-05:07;0;;4194817;843555;2878234;665234;1936548;834753;end
188-03:59;0;;4197193;845931;2880610;667610;1939280;837824;end
189-02:19;0;;4198320;847058;2881737;668737;1940711;839466;end
190-05:27;0;;4200455;849193;2883872;670872;1943192;842330;end
191-00:37;0;;4201510;850248;2884927;671927;1944499;843778;end
192-01:22;0;;4203638;852376;2887055;674055;1946992;846373;end
193-04:48;0;;4206767;855505;2890184;677184;1950482;850230;end
194-01:52;0;;4211980;860718;2895397;682397;1956058;855954;end
195-01:42;0;;4213267;862005;2896684;683684;1957697;857860;end
196-05:08;0;;4215280;864018;2898697;685697;1959914;860246;end
197-00:52;0;;4217350;866088;2900767;687767;1962352;862926;end
198-02:32;0;;4219618;868356;2903035;690035;1964735;865393;end
199-00:23;0;;4220715;869453;2904132;691132;1966118;867155;end
200-04:17;0;;4223104;871842;2906521;693521;1968715;869889;end
201-04:54;0;;4229191;877929;2912608;699608;1975202;876640;end
202-01:52;0;;4230271;879009;2913688;700688;1976440;878034;end
203-02:19;0;;4232594;881332;2916011;703011;1979033;880874;end
204-01:32;0;;4234775;883513;2918192;705192;1981463;883558;end
205-02:45;0;;4236026;884764;2919443;706443;1983037;885168;end
206-04:49;0;;4238035;886773;2921452;708452;1985119;887396;end
207-02:32;0;;4242344;891082;2925761;712761;1989813;892287;end
208-03:50;0;;4247396;896134;2930813;717813;1995252;897911;end
209-01:59;0;;4248716;897454;2932133;719133;1996816;899836;end
210-05:04;0;;4250815;899553;2934232;721232;1999276;902614;end
211-00:34;0;;4252122;900860;2935539;722539;2000666;904064;end
212-00:32;0;;4255252;903990;2938669;725669;2003948;907586;end
213-05:51;0;;4256537;905275;2939954;726954;2005445;909407;end
214-04:56;0;;4259669;908407;2943086;730086;2008614;912772;end
215-03:25;0;;4264846;913584;2948263;735263;2014102;918656;end
216-03:14;0;;4266202;914940;2949619;736619;2015780;920610;end
217-05:05;0;;4267469;916207;2950886;737886;2017352;922547;end
218-00:00;0;;4269720;918458;2953137;740137;2019833;925034;end
219-05:33;0;;4271087;919825;2954504;741504;2021319;926754;end
220-01:27;0;;4274342;923080;2957759;744759;2024850;930439;end
221-05:50;0;;4277403;926141;2960820;747820;2028128;933775;end
222-03:27;0;;4282642;931380;2966059;753059;2033741;939652;end
223-04:50;0;;4283702;932440;2967119;754119;2035002;941211;end
224-01:37;0;;4284900;933638;2968317;755317;2036594;942942;end
225-05:38;0;;4286189;934927;2969606;756606;2038104;944487;end
226-02:22;0;;4287374;936112;2970791;757791;2039608;946160;end
227-03:39;0;;4288644;937382;2972061;759061;2041050;947664;end
228-04:08;0;;4292843;941581;2976260;763260;2045524;952184;end
229-04:44;0;;4297915;946653;2981332;768332;2050887;957879;end
230-03:10;0;;4300033;948771;2983450;770450;2053239;960385;end
231-01:52;0;;4302186;950924;2985603;772603;2055417;962938;end
232-01:43;0;;4304493;953231;2987910;774910;2057994;965515;end
233-03:42;0;;4305806;954544;2989223;776223;2059475;967270;end
234-03:20;0;;4308148;956886;2991565;778565;2061867;969946;end
235-04:13;0;;4312372;961110;2995789;782789;2066180;974445;end
236-05:53;0;;4318772;967510;3002189;789189;2072714;981135;end
237-02:39;0;;4319941;968679;3003358;790358;2073972;982562;end
238-05:46;0;;4321123;969861;3004540;791540;2075405;984163;end
239-04:50;0;;4323238;971976;3006655;793655;2077763;986816;end
240-04:43;0;;4325402;974140;3008819;795819;2080057;989166;end
241-00:51;0;;4327441;976179;3010858;797858;2082327;991474;end
242-04:01;0;;4331793;980531;3015210;802210;2086831;996140;end
243-00:47;0;;4337802;986540;3021219;808219;2093012;1002590;end
244-03:28;0;;4339120;987858;3022537;809537;2094346;1004281;end
245-00:55;0;;4341137;989875;3024554;811554;2096460;1006649;end
246-01:46;0;;4343401;992139;3026818;813818;2098958;1009285;end
247-03:11;0;;4345443;994181;3028860;815860;2101111;1011491;end
248-02:18;0;;4346821;995559;3030238;817238;2102750;1013476;end
249-03:47;0;;4350947;999685;3034364;821364;2106978;1017756;end
250-04:19;0;;4357222;1005960;3040639;827639;2113631;1024730;end
251-05:42;0;;4359600;1008338;3043017;830017;2116191;1027405;end
252-04:28;0;;4360907;1009645;3044324;831324;2117715;1029256;end
253-01:25;0;;4362998;1011736;3046415;833415;2120012;1031808;end
254-01:41;0;;4365336;1014074;3048753;835753;2122355;1034412;end
255-05:25;0;;4366462;1015200;3049879;836879;2123545;1035948;end
256-05:56;0;;4369635;1018373;3053052;840052;2126939;1039532;end
257-03:25;0;;4374636;1023374;3058053;845053;2132270;1045222;end
258-03:57;0;;4376902;1025640;3060319;847319;2134651;1047902;end
259-01:02;0;;4379181;1027919;3062598;849598;2137051;1050352;end
260-01:19;0;;4380529;1029267;3063946;850946;2138580;1052176;end
261-00:00;0;;4382792;1031530;3066209;853209;2141227;1054924;end
262-05:25;0;;4384879;1033617;3068296;855296;2143633;1057427;end
263-03:34;0;;4389030;1037768;3072447;859447;2147909;1062103;end
264-04:18;0;;4397189;1045927;3080606;867606;2156145;1070606;end
265-02:59;0;;4398508;1047246;3081925;868925;2157512;1071994;end
266-03:02;0;;4400656;1049394;3084073;871073;2159884;1074596;end
267-04:57;0;;4401980;1050718;3085397;872397;2161384;1076295;end
268-02:13;0;;4404072;1052810;3087489;874489;2163539;1078610;end
269-05:23;0;;4405109;1053847;3088526;875526;2164913;1080377;end
270-05:05;0;;4412373;1061111;3095790;882790;2172300;1088116;end
271-04:22;0;;4417520;1066258;3100937;887937;2177712;1093863;end
272-00:19;0;;4418882;1067620;3102299;889299;2179176;1095662;end
273-01:04;0;;4421279;1070017;3104696;891696;2181581;1098349;end
274-04:31;0;;4422562;1071300;3105979;892979;2183246;1100315;end
275-00:54;0;;4424795;1073533;3108212;895212;2185663;1102963;end
276-05:51;0;;4425984;1074722;3109401;896401;2187048;1104382;end
277-02:04;0;;4428184;1076922;3111601;898601;2189322;1107048;end
278-05:11;0;;4430478;1079216;3113895;900895;2191894;1109862;end
279-03:15;0;;4432682;1081420;3116099;903099;2194454;1112548;end
280-02:38;0;;4433977;1082715;3117394;904394;2195865;1113963;end
281-03:46;0;;4436362;1085100;3119779;906779;2198445;1116768;end
282-01:48;0;;4438377;1087115;3121794;908794;2200825;1119206;end
283-02:22;0;;4440583;1089321;3124000;911000;2203326;1121786;end
284-02:12;0;;4443832;1092570;3127249;914249;2206943;1125458;end
285-00:25;0;;4449116;1097854;3132533;919533;2212322;1131184;end
286-02:29;0;;4450312;1099050;3133729;920729;2213897;1132775;end
287-03:46;0;;4452350;1101088;3135767;922767;2215961;1134841;end
288-00:22;0;;4453688;1102426;3137105;924105;2217426;1136623;end
289-00:56;0;;4454861;1103599;3138278;925278;2218770;1138354;end
290-04:18;0;;4458226;1106964;3141643;928643;2222189;1141876;end
291-03:21;0;;4462526;1111264;3145943;932943;2226834;1146832;end
292-03:02;0;;4467760;1116498;3151177;938177;2232399;1152500;end
293-00:29;0;;4470079;1118817;3153496;940496;2234846;1155047;end
294-04:22;0;;4471368;1120106;3154785;941785;2236403;1156694;end
295-02:36;0;;4473504;1122242;3156921;943921;2238689;1159128;end
296-00:12;0;;4474607;1123345;3158024;945024;2239828;1160656;end
297-01:36;0;;4476774;1125512;3160191;947191;2242306;1163521;end
298-02:45;0;;4482090;1130828;3165507;952507;2247647;1168973;end
299-03:24;0;;4489408;1138146;3172825;959825;2255062;1176602;end
300-05:04;0;;4491559;1140297;3174976;961976;2257287;1179065;end
301-04:59;0;;4493882;1142620;3177299;964299;2259940;1181753;end
302-02:34;0;;4496095;1144833;3179512;966512;2262440;1184626;end
303-02:49;0;;4497199;1145937;3180616;967616;2263581;1185943;end
304-05:07;0;;4499566;1148304;3182983;969983;2266041;1188703;end
305-04:25;0;;4504864;1153602;3188281;975281;2271473;1194513;end
306-01:27;0;;4511928;1160666;3195345;982345;2278784;1202058;end
307-05:19;0;;4515109;1163847;3198526;985526;2281991;1205654;end
308-05:33;0;;4516128;1164866;3199545;986545;2283249;1206979;end
309-03:13;0;;4518163;1166901;3201580;988580;2285659;1209483;end
310-02:09;0;;4520292;1169030;3203709;990709;2287860;1211942;end
311-01:53;0;;4522646;1171384;3206063;993063;2290528;1214904;end
312-04:38;0;;4529009;1177747;3212426;999426;2297273;1221931;end
313-05:10;0;;4537349;1186087;3220766;1007766;2305755;1230516;end
314-01:06;0;;4538664;1187402;3222081;1009081;2307099;1232164;end
315-03:16;0;;4539753;1188491;3223170;1010170;2308581;1234046;end
316-04:55;0;;4541893;1190631;3225310;1012310;2310914;1236707;end
317-04:05;0;;4545236;1193974;3228653;1015653;2314350;1240254;end
318-01:02;0;;4547321;1196059;3230738;1017738;2316601;1242821;end
319-04:51;0;;4554628;1203366;3238045;1025045;2324282;1250878;end
320-00:27;0;;4560985;1209723;3244402;1031402;2331032;1257873;end
321-03:08;0;;4562165;1210903;3245582;1032582;2332602;1259514;end
322-00:13;0;;4563417;1212155;3246834;1033834;2334106;1261393;end
323-02:50;0;;4565636;1214374;3249053;1036053;2336564;1264025;end
324-02:48;0;;4566745;1215483;3250162;1037162;2337848;1265657;end
325-01:31;0;;4568905;1217643;3252322;1039322;2340188;1268007;end
326-03:49;0;;4576906;1225644;3260323;1047323;2348378;1276378;end
327-04:44;0;;4582037;1230775;3265454;1052454;2353847;1281999;end
328-00:37;0;;4584403;1233141;3267820;1054820;2356422;1284590;end
329-01:02;0;;4585667;1234405;3269084;1056084;2358076;1286469;end
330-04:19;0;;4588732;1237470;3272149;1059149;2361261;1289684;end
331-00:06;0;;4591101;1239839;3274518;1061518;2363652;1292417;end
332-02:08;0;;4592336;1241074;3275753;1062753;2365024;1293971;end
333-03:12;0;;4597523;1246261;3280940;1067940;2370341;1299345;end
334-02:00;0;;4604651;1253389;3288068;1075068;2377548;1306554;end
335-04:43;0;;4607047;1255785;3290464;1077464;2380251;1309647;end
336-01:55;0;;4609331;1258069;3292748;1079748;2382672;1312342;end
337-02:03;0;;4611388;1260126;3294805;1081805;2385071;1314797;end
338-03:17;0;;4613467;1262205;3296884;1083884;2387243;1317346;end
339-05:23;0;;4615812;1264550;3299229;1086229;2389881;1320220;end
340-00:44;0;;4625204;1273942;3308621;1095621;2399488;1330168;end
341-02:03;0;;4631597;1280335;3315014;1102014;2406045;1336825;end
342-03:40;0;;4633633;1282371;3317050;1104050;2408289;1339281;end
343-02:59;0;;4635709;1284447;3319126;1106126;2410384;1341675;end
344-04:22;0;;4638860;1287598;3322277;1109277;2413835;1345333;end
345-04:18;0;;4640967;1289705;3324384;1111384;2416222;1348118;end
346-04:38;0;;4643180;1291918;3326597;1113597;2418691;1350889;end
347-05:21;0;;4649400;1298138;3332817;1119817;2425280;1357861;end
348-00:50;0;;4656715;1305453;3340132;1127132;2432773;1365501;end
349-01:58;0;;4660005;1308743;3343422;1130422;2436140;1369169;end
350-01:41;0;;4662139;1310877;3345556;1132556;2438283;1371590;end
351-02:02;0;;4664173;1312911;3347590;1134590;2440551;1373981;end
352-05:01;0;;4665230;1313968;3348647;1135647;2441620;1375125;end
353-02:52;0;;4667424;1316162;3350841;1137841;2444160;1377903;end
354-05:14;0;;4678781;1327519;3362198;1149198;2455787;1389552;end
355-03:45;0;;4684890;1333628;3368307;1155307;2462208;1395977;end
356-02:34;0;;4687179;1335917;3370596;1157596;2464551;1398473;end
357-03:57;0;;4689564;1338302;3372981;1159981;2467093;1401093;end
358-03:18;0;;4690911;1339649;3374328;1161328;2468562;1402690;end
359-02:26;0;;4697081;1345819;3380498;1167498;2474903;1409336;end
360-03:43;0;;4706269;1355007;3389686;1176686;2484488;1419107;end
361-00:49;0;;4712540;1361278;3395957;1182957;2490884;1425887;end
362-05:09;0;;4721808;1370546;3405225;1192225;2500339;1435561;end
363-01:14;0;;4723984;1372722;3407401;1194401;2502685;1438280;end
364-01:03;0;;4726268;1375006;3409685;1196685;2505272;1441187;end
365-02:09;0;;4734369;1383107;3417786;1204786;2513373;1449288;end
366-05:31;0;;4736618;1385356;3420035;1207035;2515622;1451537;end
367-05:23;0;;4738880;1387618;3422297;1209297;2517884;1453799;end
368-04:18;0;;4744079;1392817;3427496;1214496;2523083;1458998;end
369-03:42;0;;4751238;1399976;3434655;1221655;2530242;1466157;end
370-02:20;0;;4753468;1402206;3436885;1223885;2532472;1468387;end
371-04:42;0;;4754555;1403293;3437972;1224972;2533559;1469474;end
372-03:17;0;;4757904;1406642;3441321;1228321;2536908;1472823;end
373-01:21;0;;4759013;1407751;3442430;1229430;2538017;1473932;end
374-03:53;0;;4761293;1410031;3444710;1231710;2540297;1476212;end
375-04:59;0;;4767406;1416144;3450823;1237823;2546410;1482325;end
376-03:21;0;;4775788;1424526;3459205;1246205;2554792;1490707;end
377-03:23;0;;4777840;1426578;3461257;1248257;2556844;1492759;end
378-02:56;0;;4779927;1428665;3463344;1250344;2558931;1494846;end
379-02:57;0;;4781954;1430692;3465371;1252371;2560958;1496873;end
380-05:17;0;;4783025;1431763;3466442;1253442;2562029;1497944;end
381-01:56;0;;4785411;1434149;3468828;1255828;2564415;1500330;end
382-02:06;0;;4795481;1444219;3478898;1265898;2574485;1510400;end
383-03:47;0;;4799847;1448585;3483264;1270264;2578851;1514766;end
384-04:02;0;;4800944;1449682;3484361;1271361;2579948;1515863;end
385-04:13;0;;4804276;1453014;3487693;1274693;2583280;1519195;end
386-05:32;0;;4805494;1454232;3488911;1275911;2584498;1520413;end
387-01:03;0;;4807825;1456563;3491242;1278242;2586829;1522744;end
388-00:44;0;;4809982;1458720;3493399;1280399;2588986;1524901;end
389-02:20;0;;4814081;1462819;3497498;1284498;2593085;1529000;end
390-04:52;0;;4821210;1469948;3504627;1291627;2600214;1536129;end
391-05:15;0;;4822438;1471176;3505855;1292855;2601442;1537357;end
392-02:36;0;;4825828;1474566;3509245;1296245;2604832;1540747;end
393-01:56;0;;4827888;1476626;3511305;1298305;2606892;1542807;end
394-04:38;0;;4829072;1477810;3512489;1299489;2608076;1543991;end
395-03:41;0;;4831237;1479975;3514654;1301654;2610241;1546156;end
