Date;0.0.2.1.1.1.12.0.0.0.0.0.0.0.0.0.72.0;0.0.2.1.19.1.12.0.0.0.0.0.0.0.0.0.72.0
001-00:15;3620127;268865
001-00:30;3620195;268933
001-00:45;3620408;269146
001-01:00;3620439;269177
001-01:15;3620480;269218
001-01:30;3620569;269307
001-01:45;3621033;269771
001-02:00;3621064;269802
001-02:15;3621081;269819
001-02:30;3621102;269840
001-02:45;3621114;269852
001-03:00;3621125;269863
001-03:15;3621147;269885
001-03:30;3621182;269920
001-03:45;3621220;269958
001-04:00;3621232;269970
001-04:15;3621243;269981
001-04:30;3621255;269993
001-04:45;3621273;270011
001-05:00;3621300;270038
001-05:15;3621331;270069
001-05:30;3621361;270099
001-05:45;3621374;270112
001-06:00;3621394;270132
001-06:15;3621408;270146
001-06:30;3621419;270157
001-06:45;3621446;270184
001-07:00;3621477;270215
001-07:15;3621511;270249
001-07:30;3621525;270263
001-07:45;3621536;270274
001-08:00;3621548;270286
001-08:15;3621559;270297
001-08:30;3621599;270337
001-08:45;3621699;270437
001-09:00;3621743;270481
001-09:15;3621768;270506
001-09:30;3621792;270530
001-09:45;3621822;270560
001-10:00;3621848;270586
001-10:15;3621904;270642
001-10:30;3622010;270748
001-10:45;3622065;270803
001-11:00;3622146;270884
001-11:15;3622191;270929
001-11:30;3622211;270949
001-11:45;3622256;270994
001-12:00;3622388;271126
001-12:15;3622539;271277
001-12:30;3622608;271346
001-12:45;3622673;271411
001-13:00;3622727;271465
001-13:15;3622955;271693
001-13:30;3622988;271726
001-13:45;3623022;271760
001-14:00;3623053;271791
001-14:15;3623068;271806
001-14:30;3623075;271813
001-14:45;3623082;271820
001-15:00;3623098;271836
001-15:15;3623124;271862
001-15:30;3623152;271890
001-15:45;3623171;271909
001-16:00;3623181;271919
001-16:15;3623198;271936
001-16:30;3623214;271952
001-16:45;3623227;271965
001-17:00;3623259;271997
001-17:15;3623289;272027
001-17:30;3623305;272043
001-17:45;3623326;272064
001-18:00;3623339;272077
001-18:15;3623350;272088
001-18:30;3623417;272155
001-18:45;3623497;272235
001-19:00;3623576;272314
001-19:15;3623643;272381
001-19:30;3623703;272441
001-19:45;3623763;272501
001-20:00;3623790;272528
001-20:15;3623816;272554
001-20:30;3623847;272585
001-20:45;3623888;272626
001-21:00;3623903;272641
001-21:15;3623917;272655
001-21:30;3623931;272669
001-21:45;3623947;272685
001-22:00;3623985;272723
001-22:15;3624031;272769
001-22:30;3624057;272795
001-22:45;3624073;272811
001-23:00;3624090;272828
001-23:15;3624107;272845
001-23:30;3624127;272865
001-23:45;3624174;272912
002-00:00;3624210;272948
002-00:15;3624232;272970
002-00:30;3624249;272987
002-00:45;3624310;273048
002-01:00;3624330;273068
002-01:15;3624362;273100
002-01:30;3624399;273137
002-01:45;3624434;273172
002-02:00;3624450;273188
002-02:15;3624467;273205
002-02:30;3624488;273226
002-02:45;3624512;273250
002-03:00;3624546;273284
002-03:15;3624583;273321
002-03:30;3624610;273348
002-03:45;3624627;273365
002-04:00;3624647;273385
002-04:15;3624672;273410
002-04:30;3624690;273428
002-04:45;3624728;273466
002-05:00;3624764;273502
002-05:15;3624787;273525
002-05:30;3624806;273544
002-05:45;3624832;273570
002-06:00;3624848;273586
002-06:15;3624869;273607
002-06:30;3624905;273643
002-06:45;3624940;273678
002-07:00;3624960;273698
002-07:15;3624987;273725
002-07:30;3625003;273741
002-07:45;3625019;273757
002-08:00;3625046;273784
002-08:15;3625082;273820
002-08:30;3625114;273852
002-08:45;3625142;273880
002-09:00;3625163;273901
002-09:15;3625233;273971
002-09:30;3625314;274052
002-09:45;3625420;274158
002-10:00;3625474;274212
002-10:15;3625622;274360
002-10:30;3625774;274512
002-10:45;3625823;274561
002-11:00;3625866;274604
002-11:15;3625911;274649
002-11:30;3625990;274728
002-11:45;3626051;274789
002-12:00;3626160;274898
002-12:15;3626245;274983
002-12:30;3626340;275078
002-12:45;3626445;275183
002-13:00;3626531;275269
002-13:15;3626627;275365
002-13:30;3626723;275461
002-13:45;3626820;275558
002-14:00;3626988;275726
002-14:15;3627045;275783
002-14:30;3627142;275880
002-14:45;3627171;275909
002-15:00;3627195;275933
002-15:15;3627220;275958
002-15:30;3627258;275996
002-15:45;3627303;276041
002-16:00;3627338;276076
002-16:15;3627359;276097
002-16:30;3627390;276128
002-16:45;3627418;276156
002-17:00;3627497;276235
002-17:15;3627570;276308
002-17:30;3627724;276462
002-17:45;3627841;276579
002-18:00;3627918;276656
002-18:15;3628007;276745
002-18:30;3628088;276826
002-18:45;3628188;276926
002-19:00;3628287;277025
002-19:15;3628381;277119
002-19:30;3628465;277203
002-19:45;3628548;277286
002-20:00;3628627;277365
002-20:15;3628702;277440
002-20:30;3628791;277529
002-20:45;3628930;277668
002-21:00;3629041;277779
002-21:15;3629124;277862
002-21:30;3629199;277937
002-21:45;3629273;278011
002-22:00;3629348;278086
002-22:15;3629445;278183
002-22:30;3629538;278276
002-22:45;3629631;278369
002-23:00;3629708;278446
002-23:15;3629835;278573
002-23:30;3629908;278646
002-23:45;3629958;278696
003-00:00;3629984;278722
003-00:15;3630015;278753
003-00:30;3630045;278783
003-00:45;3630070;278808
003-01:00;3630083;278821
003-01:15;3630094;278832
003-01:30;3630106;278844
003-01:45;3630122;278860
003-02:00;3630160;278898
003-02:15;3630196;278934
003-02:30;3630216;278954
003-02:45;3630228;278966
003-03:00;3630239;278977
003-03:15;3630251;278989
003-03:30;3630273;279011
003-03:45;3630306;279044
003-04:00;3630337;279075
003-04:15;3630362;279100
003-04:30;3630373;279111
003-04:45;3630390;279128
003-05:00;3630407;279145
003-05:15;3630419;279157
003-05:30;3630446;279184
003-05:45;3630477;279215
003-06:00;3630507;279245
003-06:15;3630529;279267
003-06:30;3630542;279280
003-06:45;3630630;279368
003-07:00;3630658;279396
003-07:15;3630684;279422
003-07:30;3630718;279456
003-07:45;3630755;279493
003-08:00;3630766;279504
003-08:15;3630778;279516
003-08:30;3630789;279527
003-08:45;3630800;279538
003-09:00;3630827;279565
003-09:15;3630863;279601
003-09:30;3630891;279629
003-09:45;3630902;279640
003-10:00;3630908;279646
003-10:15;3630913;279651
003-10:30;3630923;279661
003-10:45;3630934;279672
003-11:00;3630956;279694
003-11:15;3630978;279716
003-11:30;3630986;279724
003-11:45;3630986;279724
003-12:00;3630995;279733
003-12:15;3630998;279736
003-12:30;3630999;279737
003-12:45;3631017;279755
003-13:00;3631038;279776
003-13:15;3631054;279792
003-13:30;3631063;279801
003-13:45;3631067;279805
003-14:00;3631067;279805
003-14:15;3631070;279808
003-14:30;3631083;279821
003-14:45;3631110;279848
003-15:00;3631143;279881
003-15:15;3631156;279894
003-15:30;3631163;279901
003-15:45;3631172;279910
003-16:00;3631182;279920
003-16:15;3631195;279933
003-16:30;3631238;279976
003-16:45;3631274;280012
003-17:00;3631297;280035
003-17:15;3631311;280049
003-17:30;3631325;280063
003-17:45;3631339;280077
003-18:00;3631360;280098
003-18:15;3631404;280142
003-18:30;3631517;280255
003-18:45;3631640;280378
003-19:00;3631931;280669
003-19:15;3632510;281248
003-19:30;3633089;281827
003-19:45;3633279;282017
003-20:00;3633386;282124
003-20:15;3633506;282244
003-20:30;3633684;282422
003-20:45;3633796;282534
003-21:00;3633907;282645
003-21:15;3634008;282746
003-21:30;3634121;282859
003-21:45;3634200;282938
003-22:00;3634301;283039
003-22:15;3634440;283178
003-22:30;3634536;283274
003-22:45;3634615;283353
003-23:00;3634695;283433
003-23:15;3634775;283513
003-23:30;3634854;283592
003-23:45;3634963;283701
004-00:00;3635060;283798
004-00:15;3635144;283882
004-00:30;3635160;283898
004-00:45;3635172;283910
004-01:00;3635193;283931
004-01:15;3635208;283946
004-01:30;3635234;283972
004-01:45;3635266;284004
004-02:00;3635297;284035
004-02:15;3635314;284052
004-02:30;3635333;284071
004-02:45;3635345;284083
004-03:00;3635357;284095
004-03:15;3635381;284119
004-03:30;3635413;284151
004-03:45;3635454;284192
004-04:00;3635469;284207
004-04:15;3635481;284219
004-04:30;3635494;284232
004-04:45;3635506;284244
004-05:00;3635531;284269
004-05:15;3635572;284310
004-05:30;3635603;284341
004-05:45;3635617;284355
004-06:00;3635630;284368
004-06:15;3635642;284380
004-06:30;3635661;284399
004-06:45;3635692;284430
004-07:00;3635724;284462
004-07:15;3635755;284493
004-07:30;3635767;284505
004-07:45;3635779;284517
004-08:00;3635800;284538
004-08:15;3635815;284553
004-08:30;3635838;284576
004-08:45;3635871;284609
004-09:00;3635901;284639
004-09:15;3635914;284652
004-09:30;3635935;284673
004-09:45;3636211;284949
004-10:00;3637179;285917
004-10:15;3637922;286660
004-10:30;3638183;286921
004-10:45;3638353;287091
004-11:00;3638430;287168
004-11:15;3638528;287266
004-11:30;3638999;287737
004-11:45;3639054;287792
004-12:00;3639101;287839
004-12:15;3639239;287977
004-12:30;3639308;288046
004-12:45;3639371;288109
004-13:00;3639429;288167
004-13:15;3639496;288234
004-13:30;3639572;288310
004-13:45;3639641;288379
004-14:00;3639708;288446
004-14:15;3639741;288479
004-14:30;3639768;288506
004-14:45;3639783;288521
004-15:00;3639807;288545
004-15:15;3639822;288560
004-15:30;3639842;288580
004-15:45;3639880;288618
004-16:00;3639918;288656
004-16:15;3639953;288691
004-16:30;3639976;288714
004-16:45;3639996;288734
004-17:00;3640017;288755
004-17:15;3640039;288777
004-17:30;3640081;288819
004-17:45;3640140;288878
004-18:00;3640170;288908
004-18:15;3640189;288927
004-18:30;3640209;288947
004-18:45;3640229;288967
004-19:00;3640255;288993
004-19:15;3640301;289039
004-19:30;3640340;289078
004-19:45;3640386;289124
004-20:00;3640459;289197
004-20:15;3640531;289269
004-20:30;3640610;289348
004-20:45;3640685;289423
004-21:00;3640774;289512
004-21:15;3640860;289598
004-21:30;3640980;289718
004-21:45;3641064;289802
004-22:00;3641142;289880
004-22:15;3641214;289952
004-22:30;3641343;290081
004-22:45;3641430;290168
004-23:00;3641518;290256
004-23:15;3641611;290349
004-23:30;3641716;290454
004-23:45;3641766;290504
005-00:00;3641803;290541
005-00:15;3641814;290552
005-00:30;3641849;290587
005-00:45;3641886;290624
005-01:00;3641914;290652
005-01:15;3641925;290663
005-01:30;3641936;290674
005-01:45;3641948;290686
005-02:00;3641969;290707
005-02:15;3641992;290730
005-02:30;3642023;290761
005-02:45;3642054;290792
005-03:00;3642069;290807
005-03:15;3642082;290820
005-03:30;3642103;290841
005-03:45;3642114;290852
005-04:00;3642133;290871
005-04:15;3642164;290902
005-04:30;3642195;290933
005-04:45;3642215;290953
005-05:00;3642233;290971
005-05:15;3642245;290983
005-05:30;3642257;290995
005-05:45;3642276;291014
005-06:00;3642308;291046
005-06:15;3642344;291082
005-06:30;3642369;291107
005-06:45;3642457;291195
005-07:00;3642492;291230
005-07:15;3642517;291255
005-07:30;3642534;291272
005-07:45;3642587;291325
005-08:00;3642625;291363
005-08:15;3642663;291401
005-08:30;3642686;291424
005-08:45;3642758;291496
005-09:00;3642815;291553
005-09:15;3642888;291626
005-09:30;3642949;291687
005-09:45;3643039;291777
005-10:00;3643118;291856
005-10:15;3643162;291900
005-10:30;3643207;291945
005-10:45;3643243;291981
005-11:00;3643288;292026
005-11:15;3643342;292080
005-11:30;3643391;292129
005-11:45;3643420;292158
005-12:00;3643435;292173
005-12:15;3643458;292196
005-12:30;3643486;292224
005-12:45;3643534;292272
005-13:00;3643578;292316
005-13:15;3643618;292356
005-13:30;3643688;292426
005-13:45;3643771;292509
005-14:00;3643862;292600
005-14:15;3643894;292632
005-14:30;3643940;292678
005-14:45;3643997;292735
005-15:00;3644016;292754
005-15:15;3644025;292763
005-15:30;3644038;292776
005-15:45;3644052;292790
005-16:00;3644093;292831
005-16:15;3644134;292872
005-16:30;3644160;292898
005-16:45;3644177;292915
005-17:00;3644194;292932
005-17:15;3644232;292970
005-17:30;3644342;293080
005-17:45;3644502;293240
005-18:00;3644609;293347
005-18:15;3644708;293446
005-18:30;3644791;293529
005-18:45;3644861;293599
005-19:00;3644928;293666
005-19:15;3645014;293752
005-19:30;3645108;293846
005-19:45;3645205;293943
005-20:00;3645275;294013
005-20:15;3645344;294082
005-20:30;3645412;294150
005-20:45;3645533;294271
005-21:00;3645635;294373
005-21:15;3645724;294462
005-21:30;3645802;294540
005-21:45;3645869;294607
005-22:00;3645945;294683
005-22:15;3646022;294760
005-22:30;3646100;294838
005-22:45;3646188;294926
005-23:00;3646276;295014
005-23:15;3646397;295135
005-23:30;3646472;295210
005-23:45;3646540;295278
006-00:00;3646611;295349
006-00:15;3646709;295447
006-00:30;3646749;295487
006-00:45;3646774;295512
006-01:00;3646785;295523
006-01:15;3646797;295535
006-01:30;3646812;295550
006-01:45;3646838;295576
006-02:00;3646870;295608
006-02:15;3646900;295638
006-02:30;3646915;295653
006-02:45;3646937;295675
006-03:00;3646948;295686
006-03:15;3646960;295698
006-03:30;3646986;295724
006-03:45;3647021;295759
006-04:00;3647055;295793
006-04:15;3647066;295804
006-04:30;3647078;295816
006-04:45;3647089;295827
006-05:00;3647108;295846
006-05:15;3647143;295881
006-05:30;3647174;295912
006-05:45;3647196;295934
006-06:00;3647207;295945
006-06:15;3647228;295966
006-06:30;3647241;295979
006-06:45;3647262;296000
006-07:00;3647293;296031
006-07:15;3647323;296061
006-07:30;3647345;296083
006-07:45;3647357;296095
006-08:00;3647369;296107
006-08:15;3647380;296118
006-08:30;3647406;296144
006-08:45;3647444;296182
006-09:00;3647542;296280
006-09:15;3647587;296325
006-09:30;3647627;296365
006-09:45;3647632;296370
006-10:00;3647647;296385
006-10:15;3647671;296409
006-10:30;3647687;296425
006-10:45;3647689;296427
006-11:00;3647689;296427
006-11:15;3647689;296427
006-11:30;3647689;296427
006-11:45;3647690;296428
006-12:00;3647693;296431
006-12:15;3647698;296436
006-12:30;3647811;296549
006-12:45;3647872;296610
006-13:00;3647935;296673
006-13:15;3648010;296748
006-13:30;3648096;296834
006-13:45;3648181;296919
006-14:00;3648255;296993
006-14:15;3648305;297043
006-14:30;3648345;297083
006-14:45;3648382;297120
006-15:00;3648521;297259
006-15:15;3648601;297339
006-15:30;3648669;297407
006-15:45;3648730;297468
006-16:00;3648786;297524
006-16:15;3648849;297587
006-16:30;3648942;297680
006-16:45;3649325;298063
006-17:00;3649516;298254
006-17:15;3649613;298351
006-17:30;3649711;298449
006-17:45;3649805;298543
006-18:00;3649899;298637
006-18:15;3649994;298732
006-18:30;3650079;298817
006-18:45;3650157;298895
006-19:00;3650248;298986
006-19:15;3650325;299063
006-19:30;3650406;299144
006-19:45;3650499;299237
006-20:00;3650588;299326
006-20:15;3650673;299411
006-20:30;3650746;299484
006-20:45;3650871;299609
006-21:00;3650948;299686
006-21:15;3651042;299780
006-21:30;3651133;299871
006-21:45;3651210;299948
006-22:00;3651281;300019
006-22:15;3651364;300102
006-22:30;3651481;300219
006-22:45;3651573;300311
006-23:00;3651663;300401
006-23:15;3651746;300484
006-23:30;3651815;300553
006-23:45;3651888;300626
007-00:00;3652084;300822
007-00:15;3652444;301182
007-00:30;3652579;301317
007-00:45;3652731;301469
007-01:00;3652766;301504
007-01:15;3652795;301533
007-01:30;3653050;301788
007-01:45;3653323;302061
007-02:00;3653365;302103
007-02:15;3653398;302136
007-02:30;3653416;302154
007-02:45;3653428;302166
007-03:00;3653439;302177
007-03:15;3653462;302200
007-03:30;3653489;302227
007-03:45;3653520;302258
007-04:00;3653545;302283
007-04:15;3653559;302297
007-04:30;3653579;302317
007-04:45;3653591;302329
007-05:00;3653607;302345
007-05:15;3653639;302377
007-05:30;3653673;302411
007-05:45;3653698;302436
007-06:00;3653709;302447
007-06:15;3653720;302458
007-06:30;3653732;302470
007-06:45;3653764;302502
007-07:00;3653801;302539
007-07:15;3653825;302563
007-07:30;3653837;302575
007-07:45;3653848;302586
007-08:00;3653862;302600
007-08:15;3653888;302626
007-08:30;3653919;302657
007-08:45;3653969;302707
007-09:00;3654092;302830
007-09:15;3654151;302889
007-09:30;3654198;302936
007-09:45;3654235;302973
007-10:00;3654281;303019
007-10:15;3654559;303297
007-10:30;3654682;303420
007-10:45;3654760;303498
007-11:00;3654835;303573
007-11:15;3654956;303694
007-11:30;3654986;303724
007-11:45;3655056;303794
007-12:00;3655118;303856
007-12:15;3655247;303985
007-12:30;3655329;304067
007-12:45;3655404;304142
007-13:00;3655468;304206
007-13:15;3655559;304297
007-13:30;3655691;304429
007-13:45;3655735;304473
007-14:00;3655735;304473
007-14:15;3655747;304485
007-14:30;3655747;304485
007-14:45;3655755;304493
007-15:00;3655776;304514
007-15:15;3655800;304538
007-15:30;3655820;304558
007-15:45;3655826;304564
007-16:00;3655834;304572
007-16:15;3655856;304594
007-16:30;3655898;304636
007-16:45;3655931;304669
007-17:00;3655964;304702
007-17:15;3656054;304792
007-17:30;3656223;304961
007-17:45;3656301;305039
007-18:00;3656371;305109
007-18:15;3656461;305199
007-18:30;3656561;305299
007-18:45;3656667;305405
007-19:00;3656748;305486
007-19:15;3656823;305561
007-19:30;3656882;305620
007-19:45;3656948;305686
007-20:00;3657013;305751
007-20:15;3657055;305793
007-20:30;3657084;305822
007-20:45;3657107;305845
007-21:00;3657140;305878
007-21:15;3657170;305908
007-21:30;3657213;305951
007-21:45;3657254;305992
007-22:00;3657282;306020
007-22:15;3657313;306051
007-22:30;3657347;306085
007-22:45;3657410;306148
007-23:00;3657483;306221
007-23:15;3657553;306291
007-23:30;3657623;306361
007-23:45;3657703;306441
008-00:00;3657717;306455
008-00:15;3657733;306471
008-00:30;3657765;306503
008-00:45;3657806;306544
008-01:00;3657824;306562
008-01:15;3657836;306574
008-01:30;3657847;306585
008-01:45;3657862;306600
008-02:00;3657905;306643
008-02:15;3657935;306673
008-02:30;3657954;306692
008-02:45;3657965;306703
008-03:00;3657977;306715
008-03:15;3657999;306737
008-03:30;3658030;306768
008-03:45;3658061;306799
008-04:00;3658083;306821
008-04:15;3658095;306833
008-04:30;3658115;306853
008-04:45;3658129;306867
008-05:00;3658154;306892
008-05:15;3658185;306923
008-05:30;3658212;306950
008-05:45;3658228;306966
008-06:00;3658246;306984
008-06:15;3658259;306997
008-06:30;3658280;307018
008-06:45;3658399;307137
008-07:00;3658437;307175
008-07:15;3658462;307200
008-07:30;3658474;307212
008-07:45;3658485;307223
008-08:00;3658496;307234
008-08:15;3658524;307262
008-08:30;3658564;307302
008-08:45;3658588;307326
008-09:00;3658600;307338
008-09:15;3658611;307349
008-09:30;3658620;307358
008-09:45;3658642;307380
008-10:00;3658681;307419
008-10:15;3658710;307448
008-10:30;3658719;307457
008-10:45;3658726;307464
008-11:00;3658735;307473
008-11:15;3658750;307488
008-11:30;3658782;307520
008-11:45;3658810;307548
008-12:00;3658823;307561
008-12:15;3658830;307568
008-12:30;3658837;307575
008-12:45;3658857;307595
008-13:00;3658879;307617
008-13:15;3658907;307645
008-13:30;3658931;307669
008-13:45;3658941;307679
008-14:00;3658952;307690
008-14:15;3658970;307708
008-14:30;3658977;307715
008-14:45;3659007;307745
008-15:00;3659035;307773
008-15:15;3659050;307788
008-15:30;3659065;307803
008-15:45;3659084;307822
008-16:00;3659095;307833
008-16:15;3659120;307858
008-16:30;3659150;307888
008-16:45;3659174;307912
008-17:00;3659188;307926
008-17:15;3659208;307946
008-17:30;3659220;307958
008-17:45;3659238;307976
008-18:00;3659269;308007
008-18:15;3659299;308037
008-18:30;3659314;308052
008-18:45;3659354;308092
008-19:00;3659435;308173
008-19:15;3659514;308252
008-19:30;3659609;308347
008-19:45;3659708;308446
008-20:00;3659794;308532
008-20:15;3659882;308620
008-20:30;3659957;308695
008-20:45;3660080;308818
008-21:00;3660170;308908
008-21:15;3660268;309006
008-21:30;3660369;309107
008-21:45;3660458;309196
008-22:00;3660538;309276
008-22:15;3660618;309356
008-22:30;3660699;309437
008-22:45;3660796;309534
008-23:00;3660905;309643
008-23:15;3660987;309725
008-23:30;3661067;309805
008-23:45;3661079;309817
009-00:00;3661090;309828
009-00:15;3661126;309864
009-00:30;3661159;309897
009-00:45;3661183;309921
009-01:00;3661194;309932
009-01:15;3661206;309944
009-01:30;3661220;309958
009-01:45;3661251;309989
009-02:00;3661282;310020
009-02:15;3661309;310047
009-02:30;3661320;310058
009-02:45;3661332;310070
009-03:00;3661349;310087
009-03:15;3661371;310109
009-03:30;3661403;310141
009-03:45;3661433;310171
009-04:00;3661447;310185
009-04:15;3661458;310196
009-04:30;3661476;310214
009-04:45;3661492;310230
009-05:00;3661523;310261
009-05:15;3661553;310291
009-05:30;3661572;310310
009-05:45;3661583;310321
009-06:00;3661603;310341
009-06:15;3661619;310357
009-06:30;3661648;310386
009-06:45;3661769;310507
009-07:00;3661806;310544
009-07:15;3661817;310555
009-07:30;3661837;310575
009-07:45;3661852;310590
009-08:00;3661868;310606
009-08:15;3661900;310638
009-08:30;3661930;310668
009-08:45;3661943;310681
009-09:00;3661960;310698
009-09:15;3661976;310714
009-09:30;3661985;310723
009-09:45;3662011;310749
009-10:00;3662038;310776
009-10:15;3662051;310789
009-10:30;3662052;310790
009-10:45;3662054;310792
009-11:00;3662054;310792
009-11:15;3662056;310794
009-11:30;3662061;310799
009-11:45;3662077;310815
009-12:00;3662077;310815
009-12:15;3662079;310817
009-12:30;3662082;310820
009-12:45;3662083;310821
009-13:00;3662095;310833
009-13:15;3662114;310852
009-13:30;3662125;310863
009-13:45;3662133;310871
009-14:00;3662145;310883
009-14:15;3662146;310884
009-14:30;3662159;310897
009-14:45;3662188;310926
009-15:00;3662212;310950
009-15:15;3662220;310958
009-15:30;3662301;311039
009-15:45;3662326;311064
009-16:00;3662357;311095
009-16:15;3662409;311147
009-16:30;3662468;311206
009-16:45;3662617;311355
009-17:00;3662780;311518
009-17:15;3662882;311620
009-17:30;3662981;311719
009-17:45;3663083;311821
009-18:00;3663181;311919
009-18:15;3663277;312015
009-18:30;3663366;312104
009-18:45;3663445;312183
009-19:00;3663520;312258
009-19:15;3663598;312336
009-19:30;3663694;312432
009-19:45;3663788;312526
009-20:00;3663864;312602
009-20:15;3663936;312674
009-20:30;3664007;312745
009-20:45;3664118;312856
009-21:00;3664218;312956
009-21:15;3664322;313060
009-21:30;3664405;313143
009-21:45;3664477;313215
009-22:00;3664549;313287
009-22:15;3664620;313358
009-22:30;3664712;313450
009-22:45;3664806;313544
009-23:00;3664938;313676
009-23:15;3665010;313748
009-23:30;3665082;313820
009-23:45;3665157;313895
010-00:00;3665236;313974
010-00:15;3665565;314303
010-00:30;3665730;314468
010-00:45;3665947;314685
010-01:00;3665978;314716
010-01:15;3666019;314757
010-01:30;3666047;314785
010-01:45;3666498;315236
010-02:00;3666566;315304
010-02:15;3666590;315328
010-02:30;3666612;315350
010-02:45;3666625;315363
010-03:00;3666636;315374
010-03:15;3666653;315391
010-03:30;3666685;315423
010-03:45;3666723;315461
010-04:00;3666740;315478
010-04:15;3666751;315489
010-04:30;3666763;315501
010-04:45;3666774;315512
010-05:00;3666808;315546
010-05:15;3666844;315582
010-05:30;3666867;315605
010-05:45;3666878;315616
010-06:00;3666892;315630
010-06:15;3666905;315643
010-06:30;3666931;315669
010-06:45;3666963;315701
010-07:00;3666994;315732
010-07:15;3667005;315743
010-07:30;3667017;315755
010-07:45;3667036;315774
010-08:00;3667051;315789
010-08:15;3667081;315819
010-08:30;3667112;315850
010-08:45;3667131;315869
010-09:00;3667147;315885
010-09:15;3667213;315951
010-09:30;3667247;315985
010-09:45;3667270;316008
010-10:00;3667300;316038
010-10:15;3667320;316058
010-10:30;3667321;316059
010-10:45;3667323;316061
010-11:00;3667325;316063
010-11:15;3667329;316067
010-11:30;3667354;316092
010-11:45;3667377;316115
010-12:00;3667388;316126
010-12:15;3667406;316144
010-12:30;3667412;316150
010-12:45;3667421;316159
010-13:00;3667437;316175
010-13:15;3667463;316201
010-13:30;3667484;316222
010-13:45;3667503;316241
010-14:00;3667512;316250
010-14:15;3667519;316257
010-14:30;3667521;316259
010-14:45;3667544;316282
010-15:00;3667572;316310
010-15:15;3667590;316328
010-15:30;3667602;316340
010-15:45;3667609;316347
010-16:00;3667616;316354
010-16:15;3667632;316370
010-16:30;3667665;316403
010-16:45;3667715;316453
010-17:00;3667761;316499
010-17:15;3667799;316537
010-17:30;3668258;316996
010-17:45;3668828;317566
010-18:00;3669123;317861
010-18:15;3669246;317984
010-18:30;3669356;318094
010-18:45;3669455;318193
010-19:00;3669555;318293
010-19:15;3669659;318397
010-19:30;3669763;318501
010-19:45;3669898;318636
010-20:00;3670042;318780
010-20:15;3670125;318863
010-20:30;3670253;318991
010-20:45;3670338;319076
010-21:00;3670416;319154
010-21:15;3670523;319261
010-21:30;3670620;319358
010-21:45;3670712;319450
010-22:00;3670819;319557
010-22:15;3670898;319636
010-22:30;3671026;319764
010-22:45;3671110;319848
010-23:00;3671205;319943
010-23:15;3671299;320037
010-23:30;3671379;320117
010-23:45;3671453;320191
011-00:00;3671539;320277
011-00:15;3671639;320377
011-00:30;3671672;320410
011-00:45;3671703;320441
011-01:00;3671720;320458
011-01:15;3671736;320474
011-01:30;3671754;320492
011-01:45;3671765;320503
011-02:00;3671796;320534
