CBP;DOMAIN;device;Device;Ger?;;;;
CES;DOMAIN;failedToFetchDeviceForSecSet;Failed to fetch the device owning security property set {0};Fehler beim Abrufen des Ger? mit den Sicherheiteigenschaften {0}.;;;;;
CES;DOMAIN;timediffXbelowthanmindefined;Time difference of {0} is smaller that the configured minimum;Der Zeitunterschied von {0} ist kleiner als der konfigurierte Mindestwert.;;;;;
CES;DOMAIN;deviceprotocol.protocol.issue;An error occurred during the execution of the protocol: {0};Bei der Ausf?ng des Protokolls ist ein Fehler aufgetreten: {0}.;;;;;
CES;DOMAIN;invalidInboundServletProtocol;Inbound protocol ''{0}'', that is linked to the inbound servlet port, should support servlet communication;Das eingehende Protokoll ?0}? das mit dem eingehenden Servlet-Port verbunden ist, sollte die Servlet-?ertragung unterst?n.;;;;;
CES;DOMAIN;loadprofile.interval.mismatch;"Load profile interval mismatch; load profile with OBIS code ''{0}'' has a {1} second(s) interval on the device, while {2} second(s) is configured";"""Lastprofil-Intervall-Inkongruenz";;;;;
CES;DOMAIN;timediffXlargerthanmaxdefined;Time difference is larger ({0}) than the maximum defined on the ComTask, setting the time won''t be performed;Der Zeitunterschied ist gr? ({0}) als der in der ComTask definierte H?twert, und die Zeiteinstellung wird nicht ausgef?.;x;;;;
CES;DOMAIN;unknownDeviceLogBookCollected;Couldn''t store the collected device logbook: logbook ''{0}'' doesn''t exist!;Das erfasste Ger?-Logbuch konnte nicht gespeichert werden: Das Logbuch '{0}' ist nicht vorhanden!;x;;;;
CES;DOMAIN;unknownDeviceMessageCollected;Couldn''t store the collected device message: message ''{0}'' doesn''t exist!;Die erfasste Ger?meldung konnte nicht gespeichert werden: Die Meldung '{0}' ist nicht vorhanden!;x;;;;
CES;DOMAIN;unknownSerialsAddedToTopology;The following unknown devices were found in the topology: ''{0}'';Die folgenden unbekannten Ger? wurden in der Topologie gefunden: ''{0}''.;;;;;
CES;DOMAIN;loggerFactoryRequiresInterface;Can only produce loggers for interface classes {0};Es k?n nur Datenlogger f?ie Schnittstellenklassen {0} generiert werden.;;;;;
CES;DOMAIN;unexpectedInboundCommException;Unexpected inbound communication exception, see stacktrace for more details;Unerwartete Inbound-Kommunikationsausnahme, siehe Stacktrace f?ehr Details.;;;;;
CES;DOMAIN;unknownDeviceRegisterCollected;Couldn''t store the collected device register: register ''{0}'' doesn''t exist!;Das erfasste Ger?-Verzeichnis konnte nicht gespeichert werden: Das Verzeichnis '{0}' ist nicht vorhanden!;x;;;;
CES;DOMAIN;unsupportedDiscoveryResultType;Discovery Result type {0} is unknown, not supported or no longer supported;Der Discovery-Ergebnistyp {0} ist unbekannt, wird nicht oder nicht mehr unterst?.;;;;;
CES;DOMAIN;mdc.next.execution.specs.friday;Friday;Freitag;;;;;
CES;DOMAIN;mdc.next.execution.specs.monday;Monday;Montag;;;;;
CES;DOMAIN;mdc.next.execution.specs.sunday;Sunday;Sonntag;;;;;
CES;DOMAIN;notExecutedDueToConnectionError;Communication task will be rescheduled due to connection errors in previous task;Die ?ertragungsaufgabe wird aufgrund von Verbindungsfehlern in der vorhergehenden Aufgabe neu geplant.;;;;;
CES;DOMAIN;notPossibleToVerifySerialNumber;It isn''t possible to verify the serialnumber of device {0} with protocol {1};Die Seriennummer des Ger? {0} mit dem Protokoll {1} kann nicht ?pr?werden.;;;;;
CES;DOMAIN;protocolPropertyUnsupportedType;Unsupported protocol property type;Nicht unterst?er Protokolleigenschaftentyp;;;;;
CES;DOMAIN;MDC.inbound.data.processor.error;Failed to execute the inbound device storage commands;Ausf?ng der Inbound-Ger?speicherungs-Befehle fehlgeschlagen.;;;;;
CES;DOMAIN;MDC.inbound.data.storage.failure;Failed to store the data for inbound communication;Datenspeicherung f?nbound Kommunikation fehlgeschlagen.;;;;;
CES;DOMAIN;mdc.next.execution.specs.tuesday;Tuesday;Dienstag;;;;;
CES;DOMAIN;DDC.device.cache.not.serializable;The device cache ''{0}'' couldn''t be serialised;Das Ger?cache ''{0}'' konnte nicht serialisiert werden.;x;;;;
CES;DOMAIN;MDC.inbound.data.response.failure;Failed to store to provide a proper result to the device;Speichern zur Lieferung eines richtigen Ergebnisses an das Ger?fehlgeschlagen.;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.separator;, ;,;;;;;
CES;DOMAIN;mdc.next.execution.specs.saturday;Saturday;Samstag;;;;;
CES;DOMAIN;mdc.next.execution.specs.thursday;Thursday;Donnerstag;;;;;
CES;DOMAIN;notExecutedDueToBasicCheckFailure;Communication task will be rescheduled due to the failure of the BasicCheck task;Die ?ertragungsaufgabe wird aufgrund der fehlgeschlagenen Standard?pr?gsaufgabe neu geplant.;;;;;
CES;DOMAIN;notExecutedDueToGeneralSetupError;Communication task will be rescheduled due to a general error during the setup of the tasks. No connection to the device was made.;Die ?ertragungsaufgabe wird aufgrund eines allgemeinen Fehlers w?end der Einrichtung der Aufgaben neu geplant. Es wurde keine Verbindung zum Ger?hergestellt.;;;;;
CES;DOMAIN;protocolPropertyIncompatibleValue;Value of protocol property isn''t compatible with the type definition;Der Wert der Protokolleigenschaft ist mit der Definition des Typs nicht kompatibel.;x;;;;
CES;DOMAIN;unknownDeviceLoadProfileCollected;Couldn''t store the collected device load profile: load profile ''{0}'' does not exist!;Das erfasste Ger?-Lastprofil konnte nicht gespeichert werden: Das Lastprofil '{0}' ist nicht vorhanden!;x;;;;
CES;DOMAIN;PrettyPrintTimeDuration.day.plural;{0} days;{0} Tage;;;;;
CES;DOMAIN;loadprofile.nbrOfChannels.mismatch;"Number of channels mismatch; load profile with OBIS code ''{0}'' has {1} channel(s) on the device, while there are {2} channel(s) configured";"""Mehrere Kan? stimmen nicht ?ein";;;;;
CES;DOMAIN;loadprofileobiscodeXmissingchannel;Channel with OBIS code ''{0}'' not found for load profile ({1});Der Kanal mit dem OBIS-Code {0} wurde f?as Lastprofil ({1}) nicht gefunden.;;;;;
CES;DOMAIN;mdc.next.execution.specs.every_day;Every {0} day(s) at {1,number,00}:{2,number,00};Jeden Tag bzw. alle {0} Tage um {1,number,00}:{2,number,00};;;;;
CES;DOMAIN;mdc.next.execution.specs.wednesday;Wednesday;Mittwoch;;;;;
CES;DOMAIN;DDC.device.cache.not.deserializable;The device cache ''{0}'' couldn''t be deserialised;Das Ger?cache ''{0}'' konnte nicht entserialisiert werden.;x;;;;
CES;DOMAIN;PrettyPrintTimeDuration.hour.plural;{0} hours;{0} Stunden;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.year.plural;{0} years;{0} Jahre;;;;;
CES;DOMAIN;mdc.next.execution.specs.every_hour;Every {0} hour(s) at {1} minute(s);Jede Stunde bzw. alle {0} Stunden um {1} Minute(n);;;;;
CES;DOMAIN;mdc.next.execution.specs.every_week;Every {0} week(s) on {1} at {2,number,00}:{3,number,00};Jede Woche bzw. alle {0} Wochen am {1} um {2,number,00}:{3,number,00};;;;;
CES;DOMAIN;DDC.device.discovered.empty.was.test;Discovered an EMPTY firmware version, while it previously was a test version ''{0}'';LEERE Firmware-Version gefunden, die jedoch zuvor eine Testversion ''{0}'' war.;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.day.singular;{0} day;{0} Tag;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.month.plural;{0} months;{0} Monate;;;;;
CES;DOMAIN;collectedDeviceCacheForUnknownDevice;Couldn''t store the collected device cache: device ''{0}''  doesn''t exist!;Das erfasste Ger?-Cache konnte nicht angelegt werden: Das Ger?'{0}' ist nicht vorhanden!;x;;;;
CES;DOMAIN;mdc.next.execution.specs.every_month;Every {0} month(s) on day {1} at {2,number,00}:{3,number,00};Jeden Monat bzw. alle {0} Monate an Tag {1} um {2,number,00}:{3,number,00};;;;;
CES;DOMAIN;notExecutedDueToConnectionSetupError;Communication task will be rescheduled due to a connection setup failure;Die ?ertragungsaufgabe wird aufgrund eines Verbindungsaufbaufehlers neu geplant.;;;;;
CES;DOMAIN;DDC.device.discovered.empty.was.final;Discovered an EMPTY firmware version, while it previously was a final version ''{0}'';LEERE Firmware-Version gefunden, die jedoch zuvor eine Endversion ''{0}'' war.;;;;;
CES;DOMAIN;DDC.device.discovered.empty.was.ghost;Discovered an EMPTY firmware version, while it previously was a ghost version ''{0}'';LEERE Firmware-Version gefunden, die jedoch zuvor eine Ghost-Version ''{0}'' war.;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.hour.singular;{0} hour;{0} Stunde;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.lastSeparator; and ;und;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.minute.plural;{0} minutes;{0} Minuten;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.second.plural;{0} seconds;{0} Sekunden;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.year.singular;{0} year;{0} Jahr;;;;;
CES;DOMAIN;mdc.next.execution.specs.every_minute;Every {0} minute(s);Jede Minute bzw. alle {0} Minuten;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.month.singular;{0} month;{0} Monat;;;;;
CES;DOMAIN;anyChannelObisCodeRequiresSerialNumber;The device serial number is required to resolve the x (any channel) in OBIS code ''{0}'';Die Seriennummer des Ger? ist erforderlich, um das x (alle Kan?) im OBIS-Code ?0}?aufzul?.;;;;;
CES;DOMAIN;MDC.inbound.data.duplicate.serialnumber;Failed to process the inbound request because multiple devices were found with the same serialnumber ''{0}'';Bearbeitung der Inbound-Anfrage fehlgeschlagen, weil mehrere Ger? mit derselben Seriennummer ''{0}'' gefunden wurden.;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.minute.singular;{0} minute;{0} Minute;;;;;
CES;DOMAIN;PrettyPrintTimeDuration.second.singular;{0} second;{0} Sekunde;;;;;
CES;DOMAIN;collectedDeviceTopologyForUnKnownDevice;The collected topology is for an unknown device ''{0}'';Die erfasst Topologie ist f?in unbekanntes Ger?''{0}''.;;;;;
CES;DOMAIN;DDC.device.discovered.deprecate.firmware;Discovered a deprecate firmware version;Veraltete Firmware-Version gefunden.;;;;;
CES;DOMAIN;DDC.device.discovered.new.ghost.firmware;Discovered a new ghost firmware version ''{0}'';Neue Ghost-Firmware-Version ''{0}'' gefunden.;;;;;
CES;DOMAIN;commandFailedDueToConnectionRelatedIssue;Communication task failed due to connection related error: {0};Die ?ertragungsaufgabe ist aufgrund eines Verbindungsfehlers fehlgeschlagen: {0};;;;;
CES;DOMAIN;DDC.device.discovered.deprecate.was.final;Discovered a deprecate firmware version ''{0}'', while it previously was a final version ''{1}''';Veraltete Firmware-Version ''{0}'' gefunden, die jedoch zuvor eine Endversion ''{1}''' war.;;;;;
CES;DOMAIN;DDC.device.discovered.empty.was.deprecate;Discovered an EMPTY firmware version, while it previously was a deprecate version ''{0}'';LEERE Firmware-Version gefunden, die jedoch zuvor eine veraltete Version ''{0}'' war.;;;;;
CES;DOMAIN;DDC.device.discovered.new.ghost.was.final;Discovered a new ghost firmware version ''{0}'', while it previously was a final version ''{1}'';Neue Ghost-Firmware-Version ''{0}'' gefunden, die jedoch zuvor eine Endversion ''{1}'' war.;;;;;
CES;DOMAIN;loadProfileConfigDoesNotMatchCollectedData;Collected load profile data for {0} doesn''t match the configured load profile interval ''{1}'';Die erfassten Lastprofildaten f?0} entsprechen nicht dem konfigurierten Lastprofilintervall {1}.;;;;;
CES;DOMAIN;notExecutedDueToOtherComTaskExecutionError;Communication task will be rescheduled due to an error in the previous communication task;Die ?ertragungsaufgabe wird aufgrund eines Fehlers in der vorhergehenden ?ertragungsaufgabe neu geplant.;;;;;
CES;DOMAIN;loggerFactorySupportOnly1ThrowableParameter;Only one Throwable message parameter supported but method {0} has multiple;Es wird nur ein Throwable-Nachrichtenparameter unterst?, die Methode {0} hat jedoch mehrere.;;;;;
CES;DOMAIN;loadprofileobiscodeXmissingchannelOtherMatch;No channel match for Load profile with OBIS code ''{0}'' ;Es ist keine ?ereinstimmung mit dem Kanal f?as Lastprofil mit dem OBIS-Code {0} vorhanden. ;;;;;
CES;DOMAIN;DDC.device.discovered.existing.ghost.firmware;Discovered an existing ghost firmware version ''{0}'';Vorhandene Ghost-Firmware-Version ''{0}'' gefunden.;;;;;
CES;DOMAIN;DDC.device.discovered.existing.ghost.was.final;Discovered an existing ghost firmware version ''{0}'', while it previously was a final version ''{1}'';Vorhandene Ghost-Firmware-Version ''{0}'' gefunden, die jedoch zuvor eine Endversion ''{1}'' war.;;;;;
CES;DOMAIN;collectedDeviceProtocolPropertyForUnknownDevice;Protocol property for unknown device;Protokolleigenschaft f?nbekanntes Ger?;;;;
CES;DOMAIN;;{0} years;{0} Tage;;;;;
CES;;;{0} years;{0} Tage;;;;;
CLR;DOMAIN;theXOfY;the {0} of ''{1}'';{0} von {1} ;;;;;
CLR;DOMAIN;andSeparator;and;und;;;;;
CLR;DOMAIN;duplicateName;Name must be unique;Der Name muss eindeutig sein.;;;;;
CLR;DOMAIN;dayLimitNoCase;day limit;Tagesgrenzwert;;;;;
CLR;DOMAIN;limitsExceeded;The command can''t have this release date as this would exceed the {0} of ''{1}'';Der Befehl kann nicht dieses Freigabedatum aufweisen, da dies {0} von {1} ?schreiten w?.;x;;;;
CLR;DOMAIN;weekLimitNoCase;week limit;Wochengrenzwert;;;;;
CLR;DOMAIN;X.field.required;This field is required;Dieses Feld ist erforderlich.;;;;;
CLR;DOMAIN;duplicateCommand;Duplicate commands aren''t allowed in a command limitation rule;Doppelte Befehle sind in einer Beschr?ungsregel f?efehle nicht zul?ig.;x;;;;
CLR;DOMAIN;monthLimitNoCase;month limit;Monatsgrenzwert;;;;;
CLR;DOMAIN;invalidFieldLength;Field length must not exceed {max} characters;Die Feldl?e darf {max} Zeichen nicht ?schreiten.;;;;;
CLR;DOMAIN;macCommandRulesFailed;Message authentication check on one or more command limitation rules failed. Please contact your system administrator.;Die Authentifizierungspr?g der Meldung mindestens einer Beschr?ungsregel f?efehle ist fehlgeschlagen. Wenden Sie sich an Ihren Systemadministrator.;;;;;
CLR;DOMAIN;weekLimitBiggerThanDay;Week limit must be higher than or equal to the day limit;Der Wochengrenzwert muss h? als der oder gleich dem Tagesgrenzwert sein.;;;;;
CLR;DOMAIN;dayLimitSmallerThanWeek;Day limit must be lower than or equal to the week limit;Der Tagesgrenzwert muss kleiner als der oder gleich dem Wochengrenzwert sein.;;;;;
CLR;DOMAIN;monthLimitBiggerThanDay;Month limit must be higher than or equal to the day limit;Der Monatsgrenzwert muss h? als der oder gleich dem Tagesgrenzwert sein.;;;;;
CLR;DOMAIN;dayLimitSmallerThanMonth;Day limit must be lower than or equal to the month limit;Der Tagesgrenzwert muss kleiner als der oder gleich dem Monatsgrenzwert sein.;;;;;
CLR;DOMAIN;monthLimitBiggerThanWeek;Month limit must be higher than or equal to the week limit;Der Monatsgrenzwert muss h? als der oder gleich dem Wochengrenzwert sein.;;;;;
CLR;DOMAIN;atLeastOneCommandRequired;At least one command is required;Es ist mindestens ein Befehl erforderlich.;;;;;
CLR;DOMAIN;weekLimitSmallerThanMonth;Week limit must be lower than or equal to the month limit;Der Wochengrenzwert muss kleiner als der oder gleich dem Monatsgrenzwert sein.;;;;;
CLR;DOMAIN;monthLimitBiggerThanDayAndWeek;Month limit must be higher than or equal to the day limit and the week limit;Der Monatsgrenzwert muss h? als der oder gleich dem Tagesgrenzwert und dem Wochengrenzwert sein.;;;;;
CLR;DOMAIN;dayLimitSmallerThanWeekAndMonth;Day limit must be lower than or equal to the week limit and the month limit;Der Tagesgrenzwert muss kleiner als der oder gleich dem Wochengrenzwert und dem Monatsgrenzwert sein.;;;;;
CLR;DOMAIN;commandrule.commandLimitationRules;Command limitation rules;Beschr?ungsregeln f?efehle;;;;;
CLR;DOMAIN;privilege.view.commandLimitationRule;View;Anzeigen;;;;;
CLR;DOMAIN;weekLimitBiggerThanDaySmallerThanMonth;Week limit must be higher than or equal to the day limit and lower than or equal to the month limit;Der Wochengrenzwert muss h? als der oder gleich dem Tagesgrenzwert und niedriger als der oder gleich dem Monatsgrenzwert sein.;;;;;
CLR;DOMAIN;privilege.approve.commandLimitationRule;Approve/reject command limitation rules;Beschr?ungsregeln f?efehle genehmigen/zur?eisen;;;;;
CLR;DOMAIN;privilege.administrate.commandLimitationRule;Administrate;Verwalten;;;;;
CLR;DOMAIN;commandrule.commandLimitationRules.description;Manage command limitation rules;Beschr?ungsregeln f?efehle verwalten;;;;;
CLR;DOMAIN;;week limit;{0} von {1} ;;;;;
CLR;;;week limit;{0} von {1} ;;;;;
CMN;DOMAIN;CMN.InvalidValue;Invalid value;Ung?ger Wert.;;;;;
CMN;DOMAIN;obisWizard.rateX;rate {0,number};Rate {0,number};;;;;
CMN;DOMAIN;obisWizard.phase1;Phase 1;Phase 1;;;;;
CMN;DOMAIN;obisWizard.phase2;Phase 2;Phase 2;;;;;
CMN;DOMAIN;obisWizard.phase3;Phase 3;Phase 3;;;;;
CMN;DOMAIN;obisWizard.ratios;Ratios;Kennzahlen;;;;;
CMN;DOMAIN;obisWizard.current;Current;Aktuell;;;;;
CMN;DOMAIN;obisWizard.voltage;Voltage;Spannung;;;;;
CMN;DOMAIN;obisWizard.weekDay;Week day (0..7);Wochentag (0...7);;;;;
CMN;DOMAIN;CMN.InvalidObisCode;Invalid obis code;Ung?ger OBIS-Code;;;;;
CMN;DOMAIN;obisWizard.allPhases;All phases;Alle Phasen;;;;;
CMN;DOMAIN;obisWizard.frequency;Frequency;Wiederholzyklus;;;;;
CMN;DOMAIN;obisWizard.harmonicX;harmonic {0,number};Oberwelle (0, Nummer);;;;;
CMN;DOMAIN;obisWizard.l0Current;L0 current (neutral);L0-Strom (neutral);;;;;
CMN;DOMAIN;obisWizard.l0Voltage;L0 voltage (neutral);L0-Spannung (neutral);;;;;
CMN;DOMAIN;obisWizard.localDate;Local date;Ortsdatum;;;;;
CMN;DOMAIN;obisWizard.localTime;Local time;Ortszeit;;;;;
CMN;DOMAIN;obisWizard.powerFactor;Power factor;Leistungsfaktor;;;;;
CMN;DOMAIN;obisWizard.testAverage;Test average;Mittelwert des Tests;;;;;
CMN;DOMAIN;obisWizard.timeEntries;Time entries;Zeiteintr?;;;;;
CMN;DOMAIN;obisWizard.coefficients;Co?icients;Koeffizienten;;;;;
